id,name,street,city,region,country,carModels/0/id,carModels/0/name,carModels/0/year,carModels/0/usdPrice,carModels/0/cadPrice,carModels/0/euroPrice,carModels/0/poundPrice,carModels/1/id,carModels/1/name,carModels/1/year,carModels/1/usdPrice,carModels/1/cadPrice,carModels/1/euroPrice,carModels/1/poundPrice,carModels/2/id,carModels/2/name,carModels/2/year,carModels/2/usdPrice,carModels/2/cadPrice,carModels/2/euroPrice,carModels/2/poundPrice,cars/0/vin,cars/0/color,cars/0/buyer,cars/1/vin,cars/1/color,cars/1/buyer,cars/2/vin,cars/2/color,cars/2/buyer,cars/3/vin,cars/3/color,cars/3/buyer,cars/4/vin,cars/4/color,cars/4/buyer,cars/5/vin,cars/5/color,cars/5/buyer
081df6a8-09fa-40aa-bc00-27ab14a9f216,Chevrolet,4659 American Lane,Montaigu,Pays de la Loire,France,9facefb2-503f-4a21-96e3-272fffadf5ed,MPV,2000,"$35,852.42 ","$40,615.71 ","€33338,73",£92221.34,bcb685e0-8315-4015-91e4-44257b7d1e91,Camry,2003,"$39,688.38 ","$76,556.45 ","€99534,56",£76670.26,6b222199-1992-4168-98cc-77a194072be6,M,2011,"$74,122.16 ","$98,345.04 ","€47275,87",£60432.34,JTDKN3DU8F0938961,Violet,rmissenden1x@cbslocal.com,WP0CA2A84FS421937,Aquamarine,hhazeldene1y@admin.ch,WAUEF98E37A023346,Fuscia,mwilliscroft1z@spiegel.de,19UUA9E50CA543243,Teal,tcopestick20@unc.edu,1NXBU4EE7AZ391940,Purple,jbaudrey21@diigo.com,3C6JD6EP7CG059927,Turquoise,stunnah22@spotify.com
6723f9df-0c01-4000-b803-368b41077d4a,Honda,4140 Fordem Alley,Sogcho,,South Korea,a1b457de-73f7-4c7f-b00c-926bcfa6892b,Sterling,1991,"$77,835.38 ","$10,632.39 ","€43923,91",£39931.27,0c8c3aa4-6f43-4a4f-b4e4-711921563792,Express 2500,2002,"$40,634.07 ","$96,011.72 ","€50872,75",£40639.78,219a4ba2-eb4d-48fa-80fe-b03e386492a1,200,2011,"$22,427.39 ","$62,815.28 ","€83212,88",£86678.96,3VWML7AJ7CM158522,Crimson,ayewdell1s@usatoday.com,WBAAZ33415K491391,Puce,aslyme1t@youtube.com,1N6AA0CA6BN857626,Mauv,sroscamp1u@newsvine.com,1FTNF2A58AE079509,Khaki,dpickavance1v@friendfeed.com,WVGAV7AX1BW901951,Pink,ndulake1w@google.nl,,,
ea7f382b-d285-47f7-a671-f2c1e4b2ed0d,Lincoln,30 Barby Alley,Noyon,Picardie,France,e81573c7-a7f2-488c-ab55-4a059c05119c,Thunderbird,1989,"$91,827.63 ","$95,758.28 ","€35276,93",£94533.67,ee579150-4e7b-43ce-be61-10847fdf607a,Miata MX-5,2003,"$70,663.60 ","$84,159.72 ","€32672,77",£16631.85,7014e302-2e81-4c61-b02a-9ddf9437e2c8,Ram Van B350,1992,"$14,259.75 ","$50,843.92 ","€20204,36",£77350.43,WAUNF78P38A124572,Blue,astreeter1n@privacy.gov.au,WAUAF78E18A009563,Turquoise,jtemby1o@xing.com,KMHFH4JG1FA970458,Aquamarine,kvaller1p@4shared.com,WAU2GBFC2CN230998,Red,acrosswaite1q@wsj.com,WAUVF98K89A984565,Teal,lnicholl1r@godaddy.com,,,
74c4cb1a-65c3-4012-af6d-7dd921532ad7,Ford,820 Valley Edge Street,La Seyne-sur-Mer,Provence-Alpes-Côte d'Azur,France,b4750632-3546-442c-b303-485360818dc5,Explorer,2013,"$57,828.44 ","$63,983.16 ","€20016,38",£44682.78,30ae99bf-02d0-465c-91ee-9f514479ad62,300M,2002,"$27,315.20 ","$68,159.92 ","€74252,65",£55092.93,6b365628-92a7-4745-a7ea-1d6d8ebb4f02,Trans Sport,1995,"$93,029.12 ","$78,635.77 ","€67850,56",£52737.17,1J4PN2GK8AW403803,Purple,dmottershaw1i@senate.gov,5TDBW5G18FS612858,Maroon,rdesesquelle1j@issuu.com,WBS3C9C53FP537356,Fuscia,mroubottom1k@quantcast.com,1GD01ZCG6CF361384,Violet,nhenrot1l@psu.edu,1FTWW3A58AE430459,Violet,qkelloch1m@sitemeter.com,,,
485a6a77-c251-4920-b00d-a9c96f8b0037,Chrysler,8 Killdeer Place,Creil,Picardie,France,81af56c0-0b29-4f32-89c3-42f899c271f9,Ridgeline,2011,"$63,461.61 ","$53,755.91 ","€10147,12",£48835.51,ca04026c-429b-4822-9334-2f37f4e14646,RX Hybrid,2010,"$10,441.06 ","$19,802.60 ","€50283,48",£98516.76,2a046362-94fa-4fad-9971-ee8793bce80a,Sonoma Club Coupe,1994,"$87,244.40 ","$18,099.62 ","€38217,23",£26810.96,5LMJJ2H50DE219118,Red,lbane1e@hud.gov,WDDHH8JB4FB808428,Violet,aimpleton1f@ameblo.jp,WAULC68E25A513742,Goldenrod,seymer1g@microsoft.com,WAUEH98E16A740482,Orange,jleaves1h@rediff.com,,,,,,
fc8c76c4-9a64-44e8-ba64-f17565d9a467,Lamborghini,959 Rusk Terrace,Chalon-sur-Saône,Bourgogne,France,ec33ad8c-bef4-4daf-9959-2489c84d61c3,Alliance,1983,"$77,436.71 ","$88,109.35 ","€50198,90",£11096.50,d20479a0-2af0-4bf5-b676-64817e83a5fb,Riviera,1991,"$50,122.72 ","$56,456.77 ","€88934,08",£19085.89,6988d761-270e-4d41-9d4f-a3777aeaba05,H1,2002,"$40,294.99 ","$25,707.13 ","€68592,98",£96691.41,WAUUL78E95A440024,Mauv,lbearfoot19@people.com.cn,1C6RD6HT1CS162250,Teal,jbrisker1a@msu.edu,WBA3T1C50FP139172,Purple,menrico1b@tuttocitta.it,1G6AF5SX1D0448749,Violet,rrenish1c@mysql.com,1ZVBP8JZ2E5399226,Puce,myukhnov1d@alexa.com,,,
b22e2006-4461-4b6f-b5ab-24627869c943,Toyota,1062 Northridge Avenue,Gap,Provence-Alpes-Côte d'Azur,France,a2b33f24-dd00-4e7c-aa17-8c93dffaa0cf,Firebird,2002,"$44,301.34 ","$32,592.34 ","€33547,31",£27766.08,4d74d75a-7acf-4d7d-a397-9579e9501444,Mustang,1989,"$93,278.35 ","$39,562.19 ","€55058,77",£57686.89,3577ad54-36c4-4220-a32b-2546fe91cf6c,Mystique,1997,"$16,897.33 ","$36,608.90 ","€28992,90",£28643.98,1GYS4JEF9BR097398,Fuscia,eskentelbury14@google.es,JHMFA3F2XAS772155,Violet,ldarrigone15@prweb.com,WA1KK78R49A402300,Puce,mpavlasek16@bandcamp.com,WAUKFAFL5CA367972,Turquoise,bcarse17@cam.ac.uk,1FTMF1EW7AF880063,Puce,vchivrall18@theguardian.com,,,
b2e9091c-9882-491b-a674-0267751be06f,Mitsubishi,97633 Jackson Center,Houston,Texas,United States,11e9ea60-4fed-422f-83ad-2603053884ae,Wrangler,2012,"$27,390.99 ","$22,569.61 ","€67857,58",£72816.35,78b67884-1be0-4f27-b6b9-61bca357ab5d,CL-Class,2012,"$19,723.00 ","$41,987.23 ","€30528,66",£69807.68,772a0a35-72a2-4309-b985-2f98cd663101,Golf,1995,"$41,588.26 ","$46,995.00 ","€56153,75",£73142.71,SCBFR7ZA7CC524370,Purple,frivilisz@indiatimes.com,WAUDFAFLXBA445766,Goldenrod,samorts10@hexun.com,2B3CK2CV5AH266252,Violet,bcolleer11@squarespace.com,NM0AE8F7XE1656374,Violet,mbonass12@google.de,5N1AN0NU5AC947550,Turquoise,jinkin13@github.io,,,
275fda79-516d-44c5-ab72-d4c4874833eb,Cadillac,56 Heffernan Place,Arras,Nord-Pas-de-Calais,France,b8c784d1-0993-4586-8ec2-9316a649c54c,Prizm,1997,"$72,413.64 ","$91,227.65 ","€21909,72",£41593.23,40b2b19f-fbae-4aeb-ac82-01d06cf9ef25,Defender,1995,"$68,341.38 ","$29,247.80 ","€36086,04",£94567.80,5e1b284a-6172-485e-bfd8-5a9b69e62958,Sunbird,1988,"$50,913.38 ","$32,835.18 ","€71301,49",£71629.21,3C6JD6BP8CG986455,Green,okuncu@discuz.net,WBA5A7C51FD606778,Aquamarine,rsantenv@tinypic.com,4T1BD1EB8FU859508,Indigo,nchaggw@go.com,JA32X8HW7DU297437,Maroon,nyoellx@deviantart.com,4T3BA3BB8AU048820,Blue,meburahy@dyndns.org,,,
6a859745-9392-43e1-97de-25bfc0569742,GMC,51557 Grasskamp Crossing,Annecy,Rhône-Alpes,France,50a3fa57-e3e3-4d79-94a8-ea15f604f042,Passport,1997,"$37,484.57 ","$63,691.54 ","€75326,90",£14916.26,5976b6f4-87f3-4c37-9f90-b14468b8164e,Talon,1998,"$50,778.85 ","$32,493.59 ","€24999,34",£23428.99,37c58d92-256c-4574-9bb7-5efa73ff160b,Odyssey,2007,"$78,863.61 ","$31,236.27 ","€38328,87",£61452.13,1FMEU8FEXAU382830,Aquamarine,tdownhamp@photobucket.com,WAURVAFA2AN180226,Blue,mpalmbyq@twitpic.com,1G6AG5RXXF0337705,Puce,pcappelr@theatlantic.com,5NPEB4AC9DH048136,Pink,nkerrs@webs.com,SCBBR93W29C479510,Blue,ojanset@cyberchimps.com,,,
